原文	訂正	個別評価	評価
また、スマートフォンとビジネスマン向けの携帯はエクセル、ワードなどデータ処理機能はよく内蔵し、カレンダーのようなプローグラムによって、オルグになれる。	また、スマートフォンとビジネスマン向けの携帯はルイス、ワードなどデータ処理機能はよく使うし、カレンダーのようなプローグラムによって、考える。	"1,1,1"	1.0
そして、高いです。	そして、高いです。	"4,4,4"	4.0
とにかく、来週の水曜日から学校が始まってちょっと気がする。	とにかく、来週の水曜日から学校が始まるのでちょっと気がする。	"3,3,3"	3.0
近々車をうんてんができます。	近々車をうんてんできます。	"4,4,4"	4.0
残念	残念	"2,3,3"	2.6666666666666665
時々、すごく面白い英語が出ています。	時々、すごく面白い英語が出てきます。	"4,4,4"	4.0
前には、この最近の興味がありませんでしたが、今興味が持つようになりました。	前には、この最近に興味がありませんでしたが、今興味が持つようになりました。	"2,3,3"	2.6666666666666665
このエッセイは日本とオーストラリアの教育制度を比べます。	このエッセイは日本とオーストラリアの教育制度を比べています。	"4,4,4"	4.0
一つ夢が一番大切です。	一つ夢が一番大切です。	"3,3,3"	3.0
でも、たくさん勉強しなかった	でも、たくさん勉強しなかった	"2,3,3"	2.6666666666666665
今日、物語を書いています！	今日は、物語を書いています！	"4,4,4"	4.0
10時にぐらい家に帰りました。	10時ぐらいに家に帰りました。	"4,4,4"	4.0
学生たちはたぶん休日のため、嬉しすぎて運転手さんの話を無視するよう、歌い続きそう。	学生たちはたぶん休日だから嬉しすぎて運転手さんの話を無視するよう、歌い続けそう。	"4,4,3"	3.6666666666666665
（instantaneous）出きるでしょうね！	（伝票）できるでしょうね！	"1,0,0"	0
だから、字は難しくないです。	だから、字は難しくないです。	"4,4,4"	4.0
最近眠りは悪かったです。	最近眠りが悪かったです。	"4,4,4"	4.0
また、昨日の気持ちを続けるし。	また、昨日の気持ちを続けるし。	"3,4,3"	3.3333333333333335
今年の六月一日から日本とのワーキングホリデー制度の運用が始まりました。	今年の六月一日から日本とのワーキングホリデー制度が始まりました。	"3,4,4"	3.6666666666666665
その時、眠いし、おなかがすいたので、困った。	その時、眠かったし、おなかがすいたので、困った。	"4,4,4"	4.0
お久しぶりですね。	お久しぶりです。	"3,4,4"	3.6666666666666665
朝までかかるそうです。	朝までかかったそうです。	"4,4,4"	4.0
何本も読んだり、本の中の力づける文もノートに書いておいて、何度も読んだりしました。	何本も読んだり、本の中の趣き文もノートに書いておいて、何度も読んだりしました。	"1,1,1"	1.0
二月三日は台湾のお正月です。	二月三日は台湾のお正月です。	"4,4,4"	4.0
ストーリタイム	あゆ	"1,1,1"	1.0
中学校が始まる時に物理学と生物学と化学が入れてさせます。	中学校が始まる時に物理学と生物学と化学を入れます。	"3,4,4"	3.6666666666666665
あの人たちは絶対に奥深い苦しいと悲しいを感じますよ。	あの人たちは絶対に奥深い苦しいと悲しいと感じますよ。	"2,2,2"	2.0
まだ見なければ、アニメが好きなら、見てみてくださいね。	まだ見ていなかったら、アニメが好きなら、見てみてくださいね。	"3,4,4"	3.6666666666666665
以外に、たっぷりになってしまいました。	意外にも、たっぷりになってしまいました。	"4,4,4"	4.0
終わり！	終わり！	"4,4,4"	4.0
♥*+☆*今日のかわいい曲*+☆*♥	♥*+☆*今日のかわいい曲*+☆*♥	"3,3,3"	3.0
私は今、日本語を勉強しています。	私は今、日本語を勉強しています。	"4,4,4"	4.0
本当に楽しかった。	本当に楽しかったです。	"3,4,3"	3.3333333333333335
しかし運転するが難しいです。	しかし運転するのが難しいです。	"4,4,4"	4.0
とりわけ、東北地方の状況であります。	とりわけ、東北地方の状況でもあります。	"4,4,4"	4.0
幸いで、思いより簡単だ！	幸い、思いより簡単だ！	"4,4,3"	3.6666666666666665
ですから、仕事の場所へ行った！	だから、仕事の場所へ行った！	"3,4,4"	3.6666666666666665
去年は日本語能力試験を自習したものの、受験中は話す必要がないので年中に話すチャンスがめったになくなって能力が下手になってしまいました。	去年は日本語能力試験を自習したものの、受験中は話す必要がないので年中に話すチャンスがめったになくなって能力が下手になってしまいました。	"4,4,4"	4.0
久しぶりです！	久しぶりです！	"4,4,4"	4.0
みつわマーケトというのはスーパーです。	み方というのはスーパーです。	"1,1,1"	1.0
あそこにはたくさんのコスプレイ人があった。	そこにはたくさんのコスプレ人があった。	"3,3,2"	2.6666666666666665
一日中友達と遊んだりとかしました。	一日中友達と遊んだりとかしました。	"4,4,4"	4.0
わたしの聞く能力が下手です。	わたしは聞く能力が苦手です。	"3,3,3"	3.0
これに対して、日本人は卒業後に直ぐに職に就かせられました。	これに対して、日本人は卒業後に直ぐに職にはまりられました。	"1,1,1"	1.0
今日の午後、ドラマを見た。	今日の午後、ドラマを見ました。	"3,4,4"	3.6666666666666665
テーブルのちかくにキッチンがあります。	テーブルのちかくにキッチンがあります。	"4,4,4"	4.0
その結果多く人たちはこのストレスを荒らしいあいませんですから「燃え尽き症候群」と言う病を現れます。	その結果多く人たちはこのストレスを最近らしいとはあいませんですから「らしい症候群」と言う病を現れます。	"1,1,1"	1.0
もし詳しい内容を気にしたら、ぜひ見てくださいね。	詳しい内容を気にしたら、ぜひ見てくださいね。	"3,3,3"	3.0
日本には、ケイタイが文化の一部に大事ようだ。	日本には、ケイタイが文化の一部に大事ようだ。	"2,3,2"	2.3333333333333335
それに、初めに　どんな道具を作るのは言いませんでしたよ。	それに、初めはどんな道具を作るのかは言いませんでしたよ。	"4,4,4"	4.0
登録した以上熱心に通って資格証準備も一緒にしたいです。	登録した以上熱心に通って資格の準備も一緒にしたいです。	"4,4,4"	4.0
じゃ、テストはまあまあ大丈夫だと思うが、このトピックは難しい、ね。	テストはまあまあ大丈夫だと思うが、このトピックは難しいね。	"4,4,4"	4.0
スチイーブがおもいランチカートをドアのすぐそとにおきました。	こんなランチをおもいランチカートカートをドアのすぐそとにおきました。	"1,1,1"	1.0
十八さいです。	十八さいです。	"4,4,4"	4.0
2時間もかかるかもしれません。	2時間もかかるかもしれません。	"4,4,4"	4.0
学生の習いを手伝うことができて、学生たちに友達を作って、本当に嬉しく感じる。	学生の学習を手伝うことができて、学生たちと友達を作って、本当に嬉しく感じる。	"4,4,3"	3.6666666666666665
それは本当に？	それは本当に？	"4,4,4"	4.0
オーストラリアでは，人は生涯に何度も職や会社を変えるのが極めて普通であります。	オーストラリアでは，人は生涯に何度も職や会社を変えるのが極めて普通です。	"4,4,4"	4.0
なぜ人間はそんなにひどいことをしましたか。	なぜ人間はそんなにひどいことをするのでしょうか。	"4,4,4"	4.0
最近近所の図書館が改築のために閉じて、あの図書館の利用者はここに来るので、私たちは特に忙しいです。	最近近所の図書館が改築のために閉じて、あの図書館の利用者はここに来るので、私たちは特に忙しいです。	"4,4,4"	4.0
そんあちさいことでもわたいしがうれしくあります。	そんなちいさいことでもわたいしがうれしくあります。	"4,4,4"	4.0
一緒に、ネットゲームするながら、放送します。	一緒に、ネットゲームをしながら、放送します。	"4,4,4"	4.0
子供は、５歳と４歳の可愛い娘がいます。	子供は、５歳で４歳の可愛い娘がいます。	"1,2,1"	1.3333333333333333
電話が来なかった	電話が来なかった	"2,3,3"	2.6666666666666665
みんな、決して運転手さんを怒らせな。	みんな、決して運転手さんを怒らせな。	"2,2,1"	1.6666666666666667
お母さんも正月料理を作っておきます。	お母さんも正月料理を作っておきます。	"4,4,4"	4.0
定まらない天気	気がつかない天気	"1,1,1"	1.0
今日、早くあの日記を読みます。	今日は、早くこの日記を読みます。	"4,4,4"	4.0
３０分だけで昼ごはんをしました。	３０分だけ昼ごはんを食べました。	"4,4,4"	4.0
僕は最近「ライアーゲームseason2」と「ブラッディ・マンデイ」という日ドラマを見ました。	僕は最近「雰囲気2」と「ブラッディ・マンデイ」というドラマを見ました。	"1,1,1"	1.0
実には、全ては第一と第二年で与えられて、第三年は改訂一種ですからとても大変と思いますが、大学に入ると皆さんは安心します。	実は、全ては第一と第二年で与えられて、第三年は改訂一種ですからとても大変だと思いますが、大学に入ると皆さんは安心します。	"4,4,3"	3.6666666666666665
ある日おばあさんは2つ凧を買いました	ある日、おばあさんは2つ凧を買いました	"3,4,3"	3.3333333333333335
さらに、錬金術反応にエドは左足を失い弟のアルは体全体を失ってしまいました。	さらに、錬金術反応にエドは左足を失い弟のアルは体全体を失ってしまいました。	"4,4,4"	4.0
生徒が１３００人で、かなり大きいな学校だ。	生徒が１３００人で、かなり大きな学校だ。	"4,4,4"	4.0
昨日は父ちゃんのお誕生日、多いかぞくに来た、父ちゃんのいちばんともだちも。	昨日は父ちゃんのお誕生日、多いかぞくに来た、父ちゃんのいちばんともだちも。	"1,1,1"	1.0
私のおととの話す間に彼の言う事が分からなかった。	私のおとと話す間に彼の言う事が分からなかった。	"2,3,3"	2.6666666666666665
自分で道程を按配しました。	自分で道程をしました。	"1,1,1"	1.0
彼女らは口口に日常の出来事を話し、互いに気分を分かち合う、私はといえばずつと默って聞いている。	彼女らは口口に日常の出来事を話し、互いに気分を分かち合う、私はといえばずっと默って聞いている。	"4,4,4"	4.0
今日の朝は雨が止めました、仕事に行く途中、熱くなりました。	今日の朝は雨が止みました。仕事に行く途中、熱くなりました。	"4,4,4"	4.0
でも私は今夜パートタイムの仕事しに行けます。。。	でも私は今夜パートタイムの仕事しに行けます。。。	"4,3,4"	3.6666666666666665
疲れましたが、充実していた。	疲れましたが、充実していた。	"4,4,3"	3.6666666666666665
それでも、教師さえいれば、日本語能力を保持できるばかりか、上手になるかもしれません。	それでも、教師さえいれば、日本語能力を保持できるばかりか、上手になるかもしれません。	"4,4,4"	4.0
皆さんこんにちは。	皆さん、こんにちは。	"3,4,3"	3.3333333333333335
ちょっと…退屈です。	ちょっと…退屈です。	"4,4,4"	4.0
コメディー、悲しみ、ドラマチックさ、アクションなどが鋼の錬金術師にみつけられます。	コメディー、悲しみ、ドラマチックさ、アクションなどが鋼の錬金術師でみつけられます。	"4,4,4"	4.0
もちろん、オーストラリアでも高級があるが・・・その日本の天下りの地位はないようだ。	もちろん、オーストラリアでも高級があるが・・・その日本の文学の地位はないようだ。	"2,1,1"	1.3333333333333333
私はタバコを全然吸いません。	私はタバコを全然吸いません。	"4,4,4"	4.0
しかし、資本主義社会ではお金がない人たちはうれしい生活を強いられて、満足な生活を送ることができません。	しかし、資本主義社会ではお金がない人たちはうれしい生活を強くさせて、満足な生活を送ることができません。	"2,2,1"	1.6666666666666667
翼をください	翼をください	"2,3,3"	2.6666666666666665
『知識を手に入れたい』と言わせてほしいが、やっぱり『この世に生きていくためにはちゃんと勉強していい仕事をつかなければならない』というのは本音です。	『知識を手に入れたい』と言わせてほしいが、やっぱり『この世に生きていくためにはちゃんと勉強していい仕事をつかわなければならない』というのは本音です。	"1,2,2"	1.6666666666666667
今夜徹夜して卒業論文の参考資料を閲覧し、論文の思想の重点がどこの方向に偏るって構想を練っている予定です。	今夜徹夜して卒業論文の参考資料を閲覧し、論文の思想の重点がどこの方向に偏って構想を練っている予定です。	"2,2,2"	2.0
最初は皆恥ずかしいとおもったけど、最後に皆どんどん歌を予約していた。	最初は皆恥ずかしいとおもったけど、最後に皆どんどん歌を予約していた。	"4,4,4"	4.0
落ち込んだ気持ちを放題したくないんだ。	落ち込んだ気持ちを放題したくないんだ。	"2,2,1"	1.6666666666666667
実は人は同じだ。	実は人は同じだ。	"4,4,4"	4.0
でも、大学なら自分うちの近くの大学に入らないかもしれません。	でも、大学なら自分うちの近くの大学に入らないかもしれません。	"2,2,2"	2.0
情報を早く国民に伝えるのがいいことだが、その前に、情報は真実性を確認すべきだと思う。	情報を早く国民に伝えるのはいいことだが、その前に、情報は真実を確認すべきだと思う。	"4,4,4"	4.0
テスト合格とキモいゴキブリ	テストに合格して追ったゴキブリ	"1,1,1"	1.0
だからもと珍しい食べ物を食べます。	だからもっと珍しい食べ物を食べます。	"4,4,4"	4.0
それは本気に言うのが判断できませんよね。	それを本気で言うのが判断できませんよね。	"4,4,3"	3.6666666666666665
日本で高校を卒業してすぐ就職する人が多いですか。	日本では高校を卒業してすぐ就職する人が多いですか。	"4,4,4"	4.0
これに対して、日本人は卒業後に直ぐに職に就かせられました。	これに対して、日本人は卒業後に直ぐに職に就いてしまいました。	"3,3,3"	3.0
１本のタバコにはたくさんの危ないケミカルが入りました。	１本のタバコにはたくさんの危ない物が入りました。	"4,4,4"	4.0
だから、貧乏も大学に入るようになるにちがありません。	だから、貧乏も大学に入るようになるにちがありません。	"2,2,1"	1.6666666666666667
わたしはくうふくにしています。	わたしはくうふくを着ています。	"1,1,1"	1.0
でも、野球が少し好きになるような気がする。	でも、野球が少し好きな気がする。	"2,2,2"	2.0
この論文に失業の原因と解決を検討します。	この論文で失業の原因と解決を検討します。	"4,4,4"	4.0
毎度の宿題のあとにあの先生の字がある。	毎度の宿題のあとにあの先生の字がある。	"4,4,4"	4.0
私たちは今日もたいつもの曲がり角のコーヒーショップに集まる。	私たちは今日もまたいつもの曲がり角のコーヒーショップに集まる。	"4,4,4"	4.0
明日香港のブックフェアにいきます	明日香港のブックフェアにいきます	"2,3,3"	2.6666666666666665
だから、本が大好きです。	だから、本が大好きです。	"4,4,4"	4.0
それから、日本語で毎日の生活とか、好きな映画とか、できる限りいろいろなことを書き込みますと思う～	それから、日本語で毎日の生活とか、好きな映画とか、できる限りいろいろなことを書き込みと思う～	"2,2,2"	2.0
一日6時間も寝るの半年ぶりだっ！	一日6時間も寝るの半年ぶりだっ！	"4,4,4"	4.0
日本語間違えたところがあったらご理解してください。	日本語を間違えたところがあったらご理解してください。	"4,4,3"	3.6666666666666665
それに、オリエンテーションもきっちりと行われるし、今日から初めて閑暇がある感じがする。	それに、オリエンテーションもきっちりと行われるし、今日から初めて閑暇がある感じがする。	"4,4,4"	4.0
今日、早くあの日記を読みます。	今日、早くこの日記を読みます。	"3,3,3"	3.0
今日はもともと日本語勉強するボランティア教室に行こうと思っていた。	今日はもともと日本語を勉強するボランティア教室に行こうと思っていた。	"4,4,4"	4.0
いつでもE-MAILを送って、相手を連絡します。	いつでもE-MAILを送って、相手に連絡します。	"4,4,4"	4.0
勉強するのに問題があるのか、それとも教えることに何か足りない部分があるのか。	勉強するのに問題があるのか、それとも教えることに何か足りない部分があるのか。	"4,4,4"	4.0
友達はなに？	友達はなに？	"4,4,4"	4.0
飯店で勤めました。	お店で勤めました。	"4,4,3"	3.6666666666666665
今回の東日本大震災を例にして、日本だけではなく、中国でも多数のデマが流している。	今回の東日本大震災を例にして、日本だけではなく、中国でも多数のデマを流している。	"4,4,4"	4.0
日本の首相は原発の状況がもう悪いなったと言いました。	日本の首相は原発の状況がもう悪くなったと言いました。	"4,4,4"	4.0
心配	心配	"2,3,3"	2.6666666666666665
生姜紅茶ダイエット	生姜紅茶ダイエット	"2,3,3"	2.6666666666666665
でも次の日私の家はちょうふけつですよ！	でも次の日私の家はちょうふけつですよ！	"4,4,4"	4.0
困る	困ります	"2,3,3"	2.6666666666666665
本当に嬉しいです。	本当に嬉しかったです。	"4,4,3"	3.6666666666666665
毎週、CoCo壱番屋に行きました。	毎週、CoCo壱番組に行きました。	"1,1,1"	1.0
でも、自分の気持ちが日本語でよく話した。	でも、自分の気持ちを日本語でよく話した。	"4,4,4"	4.0
だから、闇雲な男の人にネクタイを与えたんです。	だから、リベンジな男の人にネクタイを与えたんです。	"1,1,1"	1.0
でも、たくさん勉強しなかった	でも、あまり勉強しなかった	"2,3,2"	2.3333333333333335
私は外国人で、日本語が上手ない、そして、自分の気持ちがよく表す。	私は外国人で、日本語が上手ではない、そして、自分の気持ちをよく表す。	"4,4,4"	4.0
外国語で話すことは一番難しいですね！	外国語で話すことは一番難しいですね！	"4,4,4"	4.0
全部で、僕を含めて、ネクタイをもらったのは３人でした。	全部で、僕を含めてネクタイをしてくれたのは３人でした。	"1,2,1"	1.3333333333333333
今年の四月に一年間の日本に留学しに行く交換学生を選ぶから、今からちゃんと勉強しなきゃ。	今年の四月に一年間の日本に留学しに行く交換学生を選ぶから、今からちゃんと勉強しなきゃ。	"3,4,4"	3.6666666666666665
現在生活費は足らなければ、心配しません。	現在生活費が足らなければ、心配しません。	"4,4,4"	4.0
そうしたら、皆さんと仲ももっとよくなるかも。	そうしたら、皆さんと仲がもっとよくなるかも。	"4,4,4"	4.0
今日からここで日本語の日記をかきますと決まります。	今日からここで日本語の日記をかきますと決めました。	"2,2,2"	2.0
後でサングリアを作りました。	後でサングリアを作りました。	"4,4,4"	4.0
今、あの怪我は紫になっていました。	今、あの怪我は紫になっています。	"4,4,3"	3.6666666666666665
私達は論理にしよう、全部のドラッグを禁じらないの方がいいと考える。	私達は論理にしよう、全部のドラッグを禁じらない方がいいと考える。	"2,2,2"	2.0
ジャズは魅力的で、それはインスタンタネす？	ジャズは魅力的で、それはでしょ？	"1,1,1"	1.0
下記みたいな方式：	下記みたいな方式：	"2,3,3"	2.6666666666666665
やっとバス駅に到着する前、唄声が止まって、みんな気が落ち着きました。	やっとバス駅に到着する前、Targetが止まって、みんな気が落ち着きました。	"1,1,1"	1.0
他の人のために思ってなんです。	他の人のために思っているんです。	"4,4,4"	4.0
大体歩いたりバスに乗ったりして30分以内で学校に到着します。	歩いたりバスに乗ったりして30分以内で学校に到着します。	"3,4,3"	3.3333333333333335
私はその理由を受けたくないなんです。	私はその理由を受けたくないなんです。	"2,3,2"	2.3333333333333335
えびサンドがたべたら自分で作れなければなれない。	えびサンドをたべたら自分で作らなければならない。	"3,4,4"	3.6666666666666665
牧師は世界の貧しさについての挑戦を言いました。	牧師は世界の貧しい挑戦をしました。	"1,1,1"	1.0
でも、その学生に心配な気持ちが強くて、日本語を勉強したくて、よく自分の気持ちが表す。	でも、その学生に心配な気持ちが強くて、日本語を勉強したくて、よく自分の気持ちが表す。	"2,3,2"	2.3333333333333335
テストの部屋に入った前に、心がどきどきだった。	テストの部屋に入る前に、心がどきどきだった。	"4,4,4"	4.0
キッチンのなかにれいぞうこがあります。	キッチンのなかにれいぞうこがあります。	"4,4,4"	4.0
日本語のコースを再度申し込もうと思っています。	日本語のコースを再度申し込もうと思っています。	"4,4,4"	4.0
それにしても、携帯はパソコンを代わるとは思いません。	それにしても、携帯はパソコンを代わるとは思いません。	"4,4,4"	4.0
九月までたくさん終えなくてはならないから、　来日はきっと早くきます！	九月までたくさん終えなくてはならないから、来日はきっと早くきます！	"4,4,4"	4.0
それは簡単じゃないことです。	それは簡単じゃないです。	"3,4,3"	3.3333333333333335
ふたりが口げんかをするのを見ると、まるで母と私が喧嘩するのをみているような感じだ。	ふたりが口げんかをするのを見ると、まるで母と私が喧嘩するのをみているような感じだ。	"4,4,4"	4.0
まだキムーチを食べられないよ！	まだTargetを食べられないよ！	"1,1,1"	1.0
この中に　一番　おいしかったとおもう。	この中で一番おいしかったとおもう。	"4,4,4"	4.0
しかも店が超キレイ、種類も多い、いい店だ！	しかも店は超キレイ、種類も多い、いい店だ！	"4,4,4"	4.0
そのマグニチュード9.0東北地方太平洋沖地震でこの地域は荒廃になったと言っても、言い過ぎではないと思います。	そのマグニチュード9.0東北地方太平洋沖地震でこの地域は荒廃したと言っても、言い過ぎではないと思います。	"4,4,4"	4.0
本当に一度日本へ行って、日本語を勉強したいです。	本当に一度日本へ行って、日本語を勉強したいです。	"4,4,4"	4.0
たくさん飲み物をこぼれました。	たくさん飲み物を飲みました。	"1,1,1"	1.0
たくさんお土産を買って、当地の有名なおいしい食べ物を食べて、とても面白かったですね。	たくさんお土産を買って、当地の有名なおいしい食べ物を食べて、とても面白かったですね。	"4,4,4"	4.0
最初は霧雨なんですけど、突然大雨になります！	最初は霧雨なんですけど、突然大雨になりました！	"4,4,4"	4.0
たとえ言語というのが世界から消えるとしたら、人々もいつも通りにわかりあっていくといいものだ。	たとえ言語というのが世界から消えるとしたら、人々もいつも通りに取り組んでいくといいものだ。	"1,1,1"	1.0
その問題の上にも、「禁じるドラッグを使う人にどうしようか」の質問だ。	その問題の上にも、「禁止ドラッグを使う人にどうしようか」の質問だ。	"4,4,4"	4.0
私は１１時から１２時まで町の全体に乗りました、でも、むずかしいでした。	私は１１時から１２時まで町全体に乗りました、でも、むずかしいです。	"3,3,3"	3.0
二年生の時に、先生の調整で全然勉強たくなかった、あの後、日本語に心から興味をすっかり持っていなった。	二年生の時に、先生の調整で全然勉強したくなかった、あの後、日本語に心から興味をすっかり持っていなかった。	"4,4,4"	4.0
それは簡単じゃないことです。	それは簡単なことです。	"1,1,1"	1.0
今日バスを乗ったり、音楽を聞いたり、好きな花店へ行ったりしました。	今日バスに乗ったり、音楽を聞いたり、好きな花店へ行ったりしました。	"4,4,4"	4.0
２１日から２４日まで、電気がありませんでした。	２１日から２４日まで、電気がありませんでした。	"4,4,4"	4.0
祈りつづければ	お祈りすれば	"3,3,3"	3.0
なんだか、昨夜はぜんぜん寝られなかった。	昨夜はぜんぜん寝られなかった。	"3,3,3"	3.0
その後日がまたさす。	その後日またさす。	"1,2,2"	1.6666666666666667
カレー初めてを作りました。	カレー初めてを作りました。	"2,2,2"	2.0
けれども、私が生まれたとき、私のために父は急に止めました。	けれども、私が生まれたとき、私のために父は急に止まりました。	"1,2,2"	1.6666666666666667
とっても難しですよ！	とっても難しいですよ！	"4,4,4"	4.0
大勢に従う人や気に入るものがあっても何も変わりたくない人を避けようとしています。	大勢の人や気に入るものがあっても何も変わりたくない人を避けようとしています。	"1,2,1"	1.3333333333333333
だから新しい学期も楽しみです。	だから新しい学期も楽しみです。	"4,4,4"	4.0
来年の四月大阪大学に入ります。	来年の四月に大阪大学に入ります。	"4,4,3"	3.6666666666666665
すべての資料はこの何月間にかかって一度見ましたけど、周りや探してた情報が多すぎるから、表したい内容や考えが種類数々観点に影響を受けられやすいんです。	すべての資料はこの何ヶ月間にかかって一度見ましたけど、周りや探してた情報が多すぎるから、表したい内容や考えが種類数々の観点に影響を受けやすいんです。	"3,3,2"	2.6666666666666665
土曜日は僕の友達の結婚だので披露宴を楽しい見にしています。	土曜日は僕の友達の結婚だので披露宴を楽しみにしています。	"3,3,2"	2.6666666666666665
