原文	訂正	個別評価	評価
もっとも著しい例は、日本語の順番が動詞を一番最後のところに置くことです。	もっとも著しい例は、日本語の順番が動詞を一番最後のところに置くことです。	"4,3,4"	3.6666666666666665
キターー！！	キーーー！！	"1,1,1"	1.0
ちなみに、台湾の人気ウェブは"台灣論壇"や"台大PTT(BBS)"です。	ちなみに、台湾の人気ウェブは"台灣論壇"や"台大PTT(BBS)"です。	"4,4,4"	4.0
アメリカの格差は日本と比較するとまったく大きいと思う。	アメリカの格差は日本と比較するととても大きいと思う。	"4,4,4"	4.0
政治の中心とは利益至上というモノですから、そんなに気に入らなくてもいい、愛国心はいいですけど、他人に簡単に煽されたら、それは良くないと思います。	政治の中心とは利益至上というモノですから、そんなに気に入らなくてもいい、愛国心はいいですけど、他人に簡単にされたら、それは良くないと思います。	"1,1,1"	1.0
僕は「たちばな」で食べていた時、ホステスとシェフの会話が分かってうれしかった。	僕は「たちばな」で食べていた時、ホステスとシェフの会話が分かってうれしかった。	"4,4,4"	4.0
きゅうもの意味は巻き髪だ。	きゅうもの意味は巻き髪だ。	"4,4,4"	4.0
www.	www.	"0,0,0"	0
私の一番好きなテレビ番組は「Torchwood」と「DoctorWho」です。	私の一番好きなテレビ番組は「Torchwood」と「DoctorWho」です。	"4,4,4"	4.0
花の展覧会2010	花の展示会2010	"3,4,4"	3.6666666666666665
私の得点に大学レベルの英語と書くがありました。	私の得点に大学レベルの英語と書くがありました。	"1,1,1"	1.0
だけど、貴方たちの沢山は同性愛でむかつくそう。	だけど、貴方たちの沢山の方が同性愛でむかつくそう。	"4,3,3"	3.3333333333333335
ヨッｗ	よし！ヨッｗ	"1,1,1"	1.0
PMに助けて、サーバー管理とアカウント管理について、日本側の担当者と連絡して、一緒に開発環境を守りました。	PMの助けで、サーバー管理とアカウント管理について、日本側の担当者と連絡して、一緒に開発環境を守りました。	"4,4,3"	3.6666666666666665
何を書いたらいい、全然わからないーー	何を書いたらいいか、全然わからないーー	"4,4,4"	4.0
人間は人生で　失敗とよく会いますから。	人生は人生で失敗とよく会うからです。	"1,1,1"	1.0
私は猫を好きじゃないでも、犬大好きです。	私は猫を好きじゃなくても、犬が大好きです。	"3,3,2"	2.6666666666666665
あの人はチィンリッスルが本当に上手だ！)	あの人はチィンリッスルが本当に上手だ！)	"4,3,3"	3.3333333333333335
明日大学の後に「シェルロク・ホールムス」をみます。	明日大学の後に「シェルロク・ホールムス」をみます。	"4,4,4"	4.0
頭がいい人のがもっと優しいですから。	頭がいい人のがもっと優しいですから。	"3,4,3"	3.3333333333333335
ラベンダーの花言葉：あなたを待っています。	ラベンダーの花言葉：あなたを待っているよ。	"3,4,4"	3.6666666666666665
関の山	aつ	"1,1,1"	1.0
１年もほとんど連絡しないのに、突然頼んでくれて、へえ。。。	１年もほとんど連絡してないのに、突然頼んでくれて、へえ。。。	"4,3,1"	2.6666666666666665
仕事だけ思っている自分の状況がちょっと堪らなくって…。	仕事だけ思っている自分の状況がちょっと堪らなくって…。	"4,4,3"	3.6666666666666665
「今暇？	「今、暇？	"3,3,3"	3.0
旅行している時に迷ったら........北海道はいつもきれいなところだと思います。	旅行している時に迷ったら.........北海道はいつもきれいなところだと思います。	"3,4,2"	3.0
パンとラブはどっち？/麵包和愛情，你要選那個？（1）	パンとラブはどっち？/麵包和愛情，你要選那個？（1）	"0,0,0"	0
気象庁は宮城県沿岸に津波警報を発令、青森県の太平洋沿岸と岩手、福島、茨城各県の沿岸には津波注意報を発令しました。	気象庁は宮城県沿岸に津波警報を発令、青森県の太平洋沿岸と岩手、福島、茨城氏政の沿岸に津波注意報を発令しました。	"4,1,1"	2.0
でも、ついに　アメリカの大統領になることができました。	でも、ついに　アメリカの大統領になることができました。	"4,4,4"	4.0
（写真）満点は400点です。	（写真）満点は400点です。	"4,4,4"	4.0
例えば、まだ,ヤンキーが人気な反抗の文化で、アメリカの‘yankee’という単語から作られる。	例えば、まだ,ヤンキーが人気な反抗文化で、アメリカの‘yankee’という単語から作られる。	"2,3,3"	2.6666666666666665
でもあまり分からない文法の部分があります。	でもあまり分からない文法があります。	"4,3,4"	3.6666666666666665
すぐ小さい魚が泳いできて、やさしくて足を噛み付きました。	すぐ小さい魚が泳いできて、やさしくて足を噛み付きました。	"2,2,3"	2.3333333333333335
頭がいたい～！	頭がたい～！	"1,1,1"	1.0
ご清聴、ありがとうございます。	ご清聴、ありがとうございます。	"3,4,4"	3.6666666666666665
日本で、水俣病は四大公害病の一つだ。	日本で、水俣病は四大公害病の一つです。	"4,4,4"	4.0
明日は日本からの友たちにこの町を案内してあげるから、今日わたしと換える人を見つけなきゃいけません。	明日は日本からの友だちにこの町を案内してあげるから、今日わたしと換えてくれる人を見つけなきゃいけません。	"3,3,4"	3.3333333333333335
ソウルで生まれてグァンミョンで幼い頃を過ぎました。	ソウルで生まれてグァンミョンで幼い頃を過ごしました。	"4,4,4"	4.0
でも私の最後の高校のコンサートでしたので、ちょっと悲しいです。	でも私の最後の高校のコンサートだったので、ちょっと悲しいです。	"4,4,4"	4.0
（する）。	（する）。	"2,3,0"	2.5
今では牡丹の花が咲く時期ではないので、花の代わりに枝を差し上げた次第です」と施耐庵がこう答えた。	今では牡丹の花が咲く時期ではないので、花の代わりに枝を差し上げた次第です」と施耐庵がこう答えた。	"3,4,3"	3.3333333333333335
全然がしません。	全然ありません。	"4,4,4"	4.0
かと言って、新たに買ってあげた靴もズボンも破ったなんで	かと言って、新たに買ってあげた靴もズボンも破ったんで	"4,4,4"	4.0
モスクワで普通新婚夫婦は赤の広場に行って、永遠の火に花を捧げています。	モスクワで普通新婚夫婦は赤の広場に行って、永遠の火に花を捧げています。	"4,3,3"	3.3333333333333335
ある友達がペルシャ猫二匹を飼いました。	ある友達がペルシャ猫を二匹飼いました。	"4,4,4"	4.0
私たちは"MR.	私たちは"MR.	"4,3,0"	3.5
一円でもないよ！	一円でもないよ！	"4,3,4"	3.6666666666666665
今日、別のサイドからLang-8のことを知りました。	今日、別のサイトからLang-8のことを知りました。	"4,4,4"	4.0
ソンあさんは日語日文学科で今年３年生になりました。	ソンあさんは日語日文学科で今年３年生になりました。	"3,4,3"	3.3333333333333335
すごい番組と思います。	すごい番組と思います。	"3,3,3"	3.0
七転びや起きです。	七転びや起きがあります。	"3,1,1"	1.6666666666666667
時間は早く進み過ぎます。	時間は早く進み過ぎます。	"4,4,4"	4.0
話すをすると、皆に笑いを誘いました。	話すをすると、皆に笑いを誘いました。	"3,3,2"	2.6666666666666665
一年生の時、毎日は六人で仲良くやりました。	一年生の時、毎日六人で仲良くやりました。	"4,4,4"	4.0
病気になってお金がなくて退学したこともあります。	病気になってお金がなくなって退学したこともあります。	"4,4,4"	4.0
メロディは同じでも、違う人は違う場合で違う音楽が生まれる。	メロディーは同じでも、違う人は違う場合で違う音楽が生まれる。	"3,1,3"	2.3333333333333335
私の好きな祭日はクリスマスです！	私の好きな祭日はクリスマスです！	"4,4,4"	4.0
宿題もないけど・・・やっぱり宿題はめんどくさい。	宿題もないけど・・・やっぱり宿題はめんどくさい。	"4,4,3"	3.6666666666666665
このビデオは幾分か忠実であることが思ういます。	このビデオは幾分か忠実であると思います。	"4,4,4"	4.0
二日は乗馬の散歩とバーベキューだったそうです。	二日間は乗馬の散歩とバーベキューだったそうです。	"4,4,1"	3.0
時間が不足、たくさん単語は書きません。	時間が不足して、たくさんの単語は書きません。	"3,3,3"	3.0
Eternal-赤西仁	Eternal-赤西仁	"0,0,0"	0
昨夜１１時３２分ごろ、宮城県北部と中部で震度６強（Ｍ７．４）の地震がありました。	昨夜１１時３２分ごろ、宮城県北部と中部で震度６強（Ｍ７．４）の地震がありました。	"4,4,4"	4.0
祖母は日本語を話せます。	祖母は日本語を話せます。	"4,4,4"	4.0
今　わたしはチノヒルズの　こおこおに　いきます。	今　わたしははチノヒルズの　こおこおに　いきます。	"1,1,1"	1.0
せんせいたちと　ともだちを　いつも　思い出す.	せんせいたちとともだちをいつも思い出します.	"4,4,4"	4.0
その後、彼は戦争の後、両国はすぐ仲直りも予言しました。	その後、彼は戦争の後、両国はすぐ仲直りも予言しました。	"3,3,2"	2.6666666666666665
我が家の犬は雷が怖がるので、雷が鳴る時に震えます。	我が家の犬は雷が怖いので、雷が鳴る時に震えます。	"4,4,1"	3.0
１）現在のレベルでＮ１に合格するのは関の山だ。	１）現在のレベルでＮ１に合格するのは広範だ。	"1,1,1"	1.0
私は家で一歳ぐらいの赤ちゃんと住んでいます。	私は家で一歳ぐらいの赤ちゃんと住んでいます。	"4,4,4"	4.0
月刊の新聞です。	月刊の新聞記事です。	"2,4,1"	2.3333333333333335
今度の日記は日本から書きます！！	今度の日記は日本から書きます！！	"4,4,4"	4.0
元々沖縄へ行きたいでした。	元々沖縄へ行きたかったです。	"4,4,4"	4.0
お二つが愛し合い、釣り合う様子を見て、仲人として二つの婚縁を取り持った。	二つが愛し合い、コスチュームの様子を見て、仲人として二つの婚縁を狩った。	"1,1,1"	1.0
政治の中心とは利益至上というモノですから、そんなに気に入らなくてもいい、愛国心はいいですけど、他人に簡単に煽されたら、それは良くないと思います。	政治の中心とは利益至上というモノですから、そんなに気に入らなくてもいい、愛国心はいいですけど、他人に簡単に煽されたら、それは良くないと思います。	"4,4,1"	3.0
僕にとってそういう勉強する方法で、言葉を完璧に覚えるわけではないけれど、ANKIのおかげで言葉の意味の種を僕の頭に植えられる。	僕にとってそういう勉強する方法で、言葉を完璧に覚えるわけではないけれど、ANKIのおかげで言葉の意味の種を僕の頭に植えられる。	"2,4,3"	3.0
今まだ日本語の試験を予習しています。	今まだ日本語の試験の予習をしています。	"4,4,4"	4.0
その結果は、春運の状況になります。	その結果は、春運の状況になります。	"4,2,3"	3.0
たいてい、ヤンキーは社会人にならないが、時々高校後でヤンキーをやめる。	たいてい、ヤンキーは社会人にならないが、時々高校後ではヤンキーをやめる。	"2,2,2"	2.0
西湖の景色がとてもきれいでした。	西湖の景色はとてもきれいでした。	"4,4,4"	4.0
母、ありがとう。	母、ありがとう。	"4,4,4"	4.0
この週末はアメリカにいるときは最後だから、私の友達と家族と遊んでいるんですが、時間が止まったそうです。	この週末はアメリカにいる最後だから、私の友達と家族と遊んでいるんですが、時間が止まったそうです。	"3,3,2"	2.6666666666666665
先週「Torchwood」ポスターを買いました。	先週「Mina」のポスターを買いました。	"1,1,1"	1.0
おい！	おい！	"4,4,4"	4.0
^^	^^	"0,0,0"	0
そしてその時から歩くことを学びました。	そしてその時から歩くことを学びました。	"4,4,4"	4.0
すしと天ぷらとどちらのほうが美味しいですか？	すしと天ぷらとどちらのほうが美味しいですか？	"3,4,4"	3.6666666666666665
（たぶん、どこでtopsecretとして封印されるかもしれません。）	（たぶん、どこでtop一報として封印されるかもしれません。）	"1,1,1"	1.0
アメリカでヤンキーのような人が多いで、パンクという。	アメリカでヤンキーのような人が多いので、パンクという。	"4,4,3"	3.6666666666666665
皆さんは､自分を愛して(もっと自信を持って)､好きな人と恋する勇気を持ちますように。	皆さんは､自分を愛して(もっと自信を持っていれば、好きな人と恋する勇気を持ちますように。	"1,1,2"	1.3333333333333333
どんな所でどんな物を皆は使っているか、あるいは前にだれも使ったことがなかった物がないかと聞いた。	どんな所でどんな物を皆が使っているか、あるいは前にだれも使ったことがなかった物がないかと聞いた。	"4,4,3"	3.6666666666666665
そしてこの後輩は試験中で、	そしてこの後輩は試験中に、	"4,3,0"	3.5
中国語　勉強お　しませんでした。	中国語を勉強しませんでした。	"4,4,4"	4.0
私はブラジル終身です。	私はブラジル出身です。	"4,4,4"	4.0
じゃ、明日も小さいブログを書けます。	明日も短いブログを書きます。	"4,4,4"	4.0
いくつかの日たくさんの見ます。	いくつかの日はたくさんの見ます。	"4,2,3"	3.0
こんなことをやってみた、字幕の上で紙を張っていて、真剣に聞くだけです。	こんなことをやってみた、字幕の上で紙を張って、真剣に聞くだけです。	"3,4,2"	3.0
日本に未発売の海外のコスメー	日本では未発売の海外のコスメー	"4,4,3"	3.6666666666666665
とにかく、これは一期一会ですから、頑張ります！	とにかく、これは一期一会なので、頑張ります！	"4,4,4"	4.0
世間に対して、自分の見解を持って、人の口に従いにくいです。	世間に対して、自分の見解を持つことで、人の口に従いにくいです。	"3,3,3"	3.0
何と不思議なことに、虎たちは兵士たちと民衆たちに加害もせず、一目散に虎のキングに伴って開封府の大堂についていた。	何と不思議なことに、虎たちは兵士たちと民衆たちに加害もせず、一目散に虎のキングに伴って開封府ののっけについていた。	"1,1,1"	1.0
それ以上、我慢できないおばさんは、とうとう、離婚の道を選んだ。	それ以上に、我慢できないおばさんがとうとう、離婚の道を選んだ。	"3,3,1"	2.3333333333333335
（「Iworkasanassistantteacher」となんと言うかな。）	（「Iworkasanassistantteacher」となんと言うかな。）	"2,2,0"	2.0
私の中に鮮明に刻まれたあなたは、思い出さなくとも、自然と頭の中に浮かんできます。	私の中に鮮明に刻まれたあなたは、思い出せなくとも、自然と頭の中に浮かんできます。	"2,3,1"	2.0
誰か教えていただけませんか？	誰か教えていただけませんか？	"4,4,4"	4.0
この前、「私たち中国の若者は欧米人と話しているとき、よく英語の名前を使うのに対して、日本の若者たちはよくローマ字で自分の名前をそのまま使います。	この前、「私たち中国の若者は欧米人と話しているとき、よく英語の名前を使うのに対して、日本の若者たちはよくローマ字で自分の名前をそのまま使います。	"4,4,3"	3.6666666666666665
翌日、先生は二人を見送った時に、再三念押しをした	翌日、先生が二人を見送った時に、何度もげーむをした	"1,1,1"	1.0
彼はあまりの興奮で、あっちこっちはしったり、跳んだりして、	彼はあまりの興奮で、あちこちはしったり、跳んだりして、	"4,4,3"	3.6666666666666665
へえ？	え？	"1,4,1"	2.0
面白いアトラクションがたくさんあるから、すべての家族は楽しくできます。	面白いアトラクションがたくさんあるから、すべての家族は楽しく過ごせます。	"4,4,4"	4.0
それだけならまだいいですけど、一番怖いのはコンクールの日は学校全員の前で歌わなければなりません。	それだけならまだいいですけど、一番怖いのはコンクールの日は学校全員の前で歌わなければなりません。	"4,2,4"	3.3333333333333335
私は幼い頃から、色々な夢があります。	私は幼い頃から、色々な夢がありました。	"4,4,4"	4.0
Foolslikeme,weloveblindly.~	Foolslikeme,weloveblindly.~	"0,0,0"	0
アメリカの格差は日本と比較するとまったく大きいと思う。	アメリカの格差は日本と比較するとまったく大きいと思う。	"3,2,3"	2.6666666666666665
中国古代神話故事（翻訳挑戦）第8弾　八百匹虎東京を騒がす(4)	中国古代神話故事（翻訳挑戦）第8弾　八百匹虎東京を騒がす(4)	"4,0,0"	0
２００８年、私は杭州の西湖へ行きました。	２００８年、私は杭州の西湖へ行きました。	"4,4,4"	4.0
決断力があったからか。	決断力があったからです。	"2,4,4"	3.3333333333333335
デザートはチョコレートのフォンデューだった。	デザートはチョコレートの潮流だった。	"2,1,1"	1.3333333333333333
ぜんぜん問題をおぼえていません。	ぜんぜん問題をおぼえていません。	"4,4,4"	4.0
無事で帰ってよかったです。	無事に帰ってきてよかったです。	"4,4,4"	4.0
その日の来るを皆さんと一緒に待ちましょう。	その日が来るのを皆さんと一緒に待ちましょう。	"4,4,4"	4.0
日本の生活のが知っていないですから。	日本の生活を知っていないですから。	"3,3,3"	3.0
怠け者でさえもこういう役があります。	怠け者でさえもこういう役があります。	"4,4,4"	4.0
フィンランドの夏休みは６月の初めから８月の中までかかります。	フィンランドの夏休みは６月の初めから８月の中までかかります。	"4,2,3"	3.0
実はわが国では、出かけるときカバンを持って行く習慣がないと思う。	実はわが国では、出かけるときカバンを持って行く習慣はないと思う。	"4,4,4"	4.0
我慢の限界だ！	我慢の限界だ！	"4,4,4"	4.0
だから、今日はバイクを買っちゃった、格好いいじゃない中古車ですけど、	だから、今日はバイクを買っちゃった、格好いいじゃない中古車ですけど、	"3,3,1"	2.3333333333333335
一人ぼっちになった私が教室で、もうどうでも我慢できなくて、大声で泣き出しました。	一人ぼっちになった私が教室で、もうどうでも我慢できなくて、大声で泣き出しました。	"3,3,2"	2.6666666666666665
あの時，私が苛められさえあれば，彼女はいつも私を助かっていた。	あの時，私が苛められさえあれば，彼女はいつも私を助けていた。	"3,2,1"	2.0
で、翻訳するのはあまりにも難しいと痛感しました。	で、翻訳するのはあまりにも難しいと痛感しました。	"4,2,4"	3.3333333333333335
しかし、神様は失敗が好きだと思います。	しかし、神様は失敗が好きだと思っています。	"4,2,4"	3.3333333333333335
もし都合がよかったらこのバグを訂正していただき、訂正完了のことを電信を通じて知らせていただきたいです。	もし都合がよかったらこのバグを訂正していただき、訂正完了のことに電信を通じて知らせていただきたいです。	"2,2,3"	2.3333333333333335
牡丹の伝説（二）（２）	牡丹の伝説（二）（２）（２）	"2,3,0"	2.5
投稿された日記を添削しました！	投稿された日記を添削しました！	"4,4,4"	4.0
”プリンは不明なものを食べだと言われまして、できれば　二、三日入院したほうが言いと思います”と獣医さんがそうと言いました。	”プリンは不明なものを食べだと言われまして、できれば二、三日入院したほうがいいと思います”と獣医さんがそう言いました。	"3,2,2"	2.3333333333333335
ほかのユーザによって自分のアカウントで添削の個別アイテム二間してのコメントを見ることができないことに指摘されました。	ほかのユーザーによって自分のアカウントで添削の個別アイテム二つのコメントを見ることができないことに指摘されました。	"2,3,2"	2.3333333333333335
今、日本語だけではなく韓国語も勉強しています。	今、日本語だけではなく韓国語も勉強しています。	"4,4,4"	4.0
日本の教育制度の急告の目的は日本人は社会に入りておくて、社会人になる。	日本の教育制度の義務の目的は日本人は社会に入り、社会人になる。	"3,2,1"	2.0
http://tw.f4.page.bid.yahoo.com/tw/auction/d39886126	http:(orttw.f4.page.bid.yahoo.com-tw/说得-d39886126	"0,0,0"	0
JRとバスと地下鉄と鉄道など複雑だな....	JRとバスと地下鉄と鉄道などは複雑だな....	"3,4,1"	2.6666666666666665
がんばって！	がんばって！	"4,4,4"	4.0
大変つまらないです。	大変つまらなかったです。	"4,4,4"	4.0
偶にペットと遊びて、餌をやりました。	偶にペットと遊びて、餌をやりました。	"3,2,3"	2.6666666666666665
これは人生だ。	これが人生だ。	"4,4,4"	4.0
懐かしいですね。	懐かしいです。	"4,4,4"	4.0
その後、長官のその息子を丸呑みした	その後、長官のその息子を丸呑みした	"3,4,3"	3.3333333333333335
自学だから、どこまで出来られる、実は僕もよく知らない。	独学だから、どこまで出来られるか、実は僕もよく知らない。	"3,1,2"	2.0
人の頼みを断るのが嫌いですけど、でも、今回はきっぱりと断りました。	人の頼みを断るのは嫌いですけど、でも、今回はきっぱりと断りました。	"4,3,4"	3.6666666666666665
私は絵を描くのが好きだけど、最近は何も描かなくっている。	私は絵を描くのが好きだけど、最近は何も描かなかった。	"4,1,4"	3.0
かんじのがたくさんふみがあるですから。	かんじのがたくさんふみがあるですから。	"1,1,1"	1.0
うちの村の人だから、普通の漁民だ、なんで工作員として疑われるの？	うちの村の人だから、普通の漁師だ、なんで工作員として疑われるの？	"4,4,2"	3.3333333333333335
でも、きっと、できるとは信じる。	でも、きっと、できるとは信じる。	"2,3,2"	2.3333333333333335
帰ったあと兄は「インターネットで買うのはどうだ」と言いました、僕は一度インターネットで買い物の経験はないから、すべては兄の手伝いです。	帰ったあと兄は「インターネットで買うのはどうだ」と言いました、僕は一度もインターネットで買い物をした経験はないから、すべては兄の手伝いです。	"3,2,3"	2.6666666666666665
西洋のクリスマスとかバレンタインデーとか中日でもとても人気があって、ブームになってきましたが、自分の伝統的な祝日は昔の人と同じようにちゃんとすごっしているんですか？	西洋のクリスマスとかバレンタインデーとか中日でもとても人気があって、ブームになってきましたが、自分の伝統的な祝日は昔の人と同じようにちゃんとすごしているんですか？	"4,4,2"	3.3333333333333335
おはよございます、私はエゼキアスです。	おはようございます、私はSeptemberです。	"1,1,1"	1.0
なぜそう名づけたかというと、彼の飼い主は回文が好きだからです。	なぜ名づけたかというと、彼の飼い主は回文が好きだからです。	"1,4,1"	2.0
見て！	見て！	"4,4,4"	4.0
好きな歌手はカナダの女性ロッカーのエイブリルラビンだと言いました。	好きな歌手はカナダの女性ロッカーのファンだと言いました。	"1,1,1"	1.0
ぼうしゃにいたら、森に行ったり川にいったりして過ごしたいです。	ぼうしゃにいったら、森に行ったり川にいったりして過ごしたいです。	"4,4,3"	3.6666666666666665
大きすぎるのか覚えにくいなどからですか？	大きすぎるのか覚えにくいなどからですか？	"2,1,1"	1.3333333333333333
漁船は「故意」とはとても考えられません。	漁船は「故意」とはとても考えられません。	"4,4,2"	3.3333333333333335
日記を書いておきました。	日記を書いておきました。	"4,4,4"	4.0
すぐ小さい魚が泳いできて、やさしくて足を噛み付きました。	すぐ小さい魚が泳いできて、やさしくて足に噛み付きました。	"3,3,4"	3.3333333333333335
これように、音楽しか何もないかもしれない。	これのように、音楽しかないかもしれない。	"3,3,2"	2.6666666666666665
これから、両国の若者はどんな道に進めたらいいのでしょうか？	これから、両国の若者はどんな道を進めたらいいのでしょうか？	"4,3,2"	3.0
今日仕事でトテモ疲れたから、短いブログだ:]!	今日仕事でトテモ疲れたから、短いブログだ:]!	"4,1,3"	2.6666666666666665
自己評価	自己評価	"4,4,4"	4.0
myspeech	myspeech	"0,0,0"	0
いま、私はMikkomさんのコメントを借用して、自分の考えを書きます。	いま、私はセインさんのコメントを借用して、自分の考えを書きます。	"1,1,1"	1.0
原文	原文	"4,4,4"	4.0
中国語です。	わたしは中国語です。	"1,1,1"	1.0
（全部の日記はちょっとながいだとおもいます。）	（全部の日記はちょっとながいとおもいます。）	"4,4,2"	3.3333333333333335
これように、音楽しか何もないかもしれない。	このように、音楽しか何もないかもしれない。	"3,3,2"	2.6666666666666665
でも、最近日本の女の子の間でとても人気がある「森ガール」というスタイルは私もすごく気に入っていました。	でも、最近日本の女の子の間でとても人気がある「森ガール」というスタイルが私もすごく気に入っていました。	"2,3,4"	3.0
心配です	心配です	"3,3,3"	3.0
「自薦と推薦の人はいますか。」と先生から聞きました。	「頑張れよと推薦の人はいますか。」と先生から聞きました。	"1,1,1"	1.0
ロシアで結婚式にお客さんをたくさｎ招待することになっています。	ロシアで結婚式にお客さんをたくさんｎ招待することになっています。	"2,3,2"	2.3333333333333335
何も思わないし、每日心配のこともないし。	何も考えないし、每日心配のこともないし。	"2,3,2"	2.3333333333333335
先生、知っていますか？	先生、知っていますか？	"4,4,4"	4.0
ある日、私たちの東洋的な若者文化はきっと世界中でブームになります。	ある日、私たちの東洋的な若者文化は世界中でブームになります。	"1,2,2"	1.6666666666666667
ぶちょうでした。	楽しかったです。	"1,1,1"	1.0
試練が終わったら、皆で結婚登録場に行きました。	試練が終わったら、皆で結婚登録場に行きました。	"4,4,2"	3.3333333333333335
何度も何度も　こうほしゃになりましたが、いつも失敗しました。	何度も何度もこうほしくなりましたが、いつも失敗しました。	"1,1,1"	1.0
ヨッｗ	ヨッｗ	"4,4,4"	4.0
今日は午前９時に大学へ行ったが、家の近くに、工事中のため通行止めです。	今日は午前９時に大学へ行ったが、家の近くで、工事中のため通行止めです。	"4,4,2"	3.3333333333333335
先日友達を訪る傍ら、猫を見に行きました。	先日友達を訪ねる傍ら、猫を見に行きました。	"4,4,4"	4.0
実を言えば、私は結婚式があまり好きではありません。	実を言えば、私は結婚式があまり好きではありません。	"4,4,4"	4.0
お医者さんに会ったけど彼は「あなたは元気ですが、ティーンエイジャーだからいつも眠いですね。」と言いました。	お医者さんに会ったけど彼は「あなたは元気ですが、ティーンエイジャーだからいつも眠いですね。」と言いました。	"2,4,2"	2.6666666666666665
帰ったあと兄は「インターネットで買うのはどうだ」と言いました、僕は一度インターネットで買い物の経験はないから、すべては兄の手伝いです。	帰ったあと兄は「インターネットで買うのはどうだ」と言いました。僕は一度インターネットで買い物の経験はないから、すべては兄の手伝いです。	"2,2,3"	2.3333333333333335
http://www.youtube.com/watch?v=k1dmTTWlfZQ	http://www.youtube.comrwatch?v=k1dmTTWlfZQ	"0,0,0"	0
親のような官職についてるのに、民のために、利益をもたらし、害を排除することなく、逆にこの地域に災いを来すばかりで、お前は何の役に立つものか　」	親のような官職についてるのに、民のために、利益をもたらし、害を排除することなく、逆にこの地域に災いを耐え忍んばかりで、お前は何の役に立つものか」	"1,1,1"	1.0
まだ元気はずです！	まだ元気です！	"4,4,4"	4.0
如何してですか？	如何してですか？	"4,2,2"	2.6666666666666665
こんばんわ。	こんばんは。	"4,4,4"	4.0
感想はやっぱり楽しかったです！	感想はやっぱり楽しかったです！	"4,4,3"	3.6666666666666665
私にとって結婚式を挙げるより新婚旅行する方がいいのではないでしょうか。	私にとって結婚式を挙げるより新婚旅行する方がいいのではないでしょうか。	"4,3,3"	3.3333333333333335
いつも見ます。	いつも見ています。	"4,4,4"	4.0
今回観たのは、中国語字幕の付いたバージョンだった。	今回観たのは、中国語字幕が付いたバージョンだった。	"4,4,4"	4.0
こんなことをやってみた、字幕の上で紙を張っていて、真剣に聞くだけです。	こんなことをやってみたら、字幕の上で紙を張っていて、真剣に聞くだけです。	"1,2,1"	1.3333333333333333
こんなことをやってみた、字幕の上で紙を張っていて、真剣に聞くだけです。	こんなことをやってみた、字幕の上で紙を張っていて、真剣に聞くだけです。	"2,2,3"	2.3333333333333335
しかし、この後は歴史的なコスチュームを縫いました。	しかし、この後は歴史的なコスチュームを縫いました。	"4,4,3"	3.6666666666666665
いやだな。	いやだな。	"4,4,4"	4.0
教えて下さいね！	教えて下さいね！	"4,4,4"	4.0
写真はこちら→http://ameblo.jp/aa66kcz/	写真はこちら→http:--ameblo.jpeaa66kcz-	"1,4,0"	2.5
（英語もミスがあるのを今発見してました）	（英語もミスがあるのを今発見してました）	"4,3,3"	3.3333333333333335
